Time,Hip x,Hip y,Hip likelihood,Knee x,Knee y,Knee likelihood,Ankle x,Ankle y,Ankle likelihood,Heel (ventral) x,Heel (ventral) y,Heel (ventral) likelihood,Instep (dorsal) x,Instep (dorsal) y,Instep (dorsal) likelihood,"Toe 1 (Proximal “Thumb"") x","Toe 1 (Proximal “Thumb"") y","Toe 1 (Proximal “Thumb"") likelihood",Toe 2 x,Toe 2 y,Toe 2 likelihood,Toe 3 (Middle) x,Toe 3 (Middle) y,Toe 3 (Middle) likelihood,Toe 4 x,Toe 4 y,Toe 4 likelihood,"Toe 5 (Distal “Pinky"") x","Toe 5 (Distal “Pinky"") y","Toe 5 (Distal “Pinky"") likelihood"
637,899.0587768554690,314.6124267578130,0.479167640209198,560.183349609375,583.7644653320310,0.9788293838500980,562.5258178710940,792.3264770507810,0.9817766547203060,577.2603759765630,855.1012573242190,0.9981310963630680,472.8879089355470,870.6752319335940,0.9894810914993290,456.2557373046880,963.3248291015630,0.9856866002082830,392.2967834472660,984.1982421875,0.9873397350311280,371.2579345703130,990.3955078125,0.863554060459137,356.1728820800780,1016.2474975585900,0.9763430953025820,421.3290710449220,992.983642578125,0.9990808963775640
638,899.0587768554690,314.6076965332030,0.47945329546928400,560.1625366210940,583.736572265625,0.9793261289596560,562.5258178710940,792.3264770507810,0.9813880920410160,577.2603759765630,855.2352294921880,0.9981728792190550,472.8879089355470,870.5103149414060,0.9877173900604250,456.0100402832030,963.3248291015630,0.9897302389144900,392.2967834472660,981.7501220703130,0.9796478748321530,370.45367431640600,990.3955078125,0.9168421626091000,359.13531494140600,1014.2069702148400,0.9726047515869140,421.1675109863280,992.8030395507810,0.9985330104827880
639,899.0587768554690,314.605224609375,0.47967585921287500,560.0673217773440,583.4918212890630,0.9791825413703920,562.5255126953130,792.3264770507810,0.9816386699676510,577.2603759765630,855.3104858398440,0.9980782270431520,472.8879089355470,870.5103149414060,0.9901220202445980,456.2557373046880,963.3248291015630,0.9850649237632750,392.8522644042970,981.7501220703130,0.9890469908714290,370.45367431640600,990.3953247070310,0.9009007215499880,360.5849304199220,1012.5826416015600,0.9715926051139830,421.1675109863280,992.8030395507810,0.9985241293907170
640,899.1466674804690,314.4693603515630,0.4817192554473880,559.8570556640630,583.4918212890630,0.9783720374107360,562.1251220703130,792.7214965820310,0.9806259870529180,577.1134033203130,855.3192749023440,0.9979386329650880,472.6457214355470,870.6752319335940,0.9929785132408140,457.6055603027340,963.367919921875,0.9809610247612,394.0931396484380,984.1982421875,0.9917595982551580,371.2023620605470,990.3953247070310,0.8232334852218630,362.6318054199220,1012.4932861328100,0.9800769686698910,422.520263671875,992.983642578125,0.9983152151107790
641,899.5524291992190,314.4189453125,0.4854882061481480,559.791748046875,583.4918212890630,0.9787369966506960,562.10595703125,792.7428588867190,0.9812996983528140,577.0201416015630,855.3192749023440,0.9979808926582340,472.4665832519530,871.2703857421880,0.9891181588172910,457.6930847167970,963.6491088867190,0.9895728230476380,392.87176513671900,984.9913330078130,0.9645230174064640,370.45367431640600,990.72412109375,0.8997243642807010,363.14056396484400,1012.4932861328100,0.9731876850128170,421.4604187011720,992.9970092773440,0.9982555508613590
642,899.9754028320310,313.92840576171900,0.5005467534065250,559.791748046875,583.5640869140630,0.9757821559906010,561.9442749023440,793.19384765625,0.982205867767334,576.9413452148440,855.44091796875,0.9977613091468810,472.23565673828100,871.6421508789060,0.9899124503135680,457.6930847167970,964.1161499023440,0.9889931082725530,393.462890625,985.5221557617190,0.9412740468978880,370.75299072265600,990.7958984375,0.8848602771759030,363.78302001953100,1012.4932861328100,0.9786106944084170,421.4604187011720,993.0172119140630,0.9981212615966800
643,906.9910278320310,310.6390380859380,0.5114162564277650,559.8570556640630,583.5805053710940,0.9760851860046390,561.6641235351560,793.4261474609380,0.9814321994781490,576.890380859375,855.519775390625,0.9976158142089840,472.207763671875,871.6883544921880,0.9898461699485780,457.6930847167970,965.0696411132810,0.9872575402259830,393.462890625,985.7808227539060,0.9595981240272520,371.2023620605470,990.7958984375,0.8863270878791810,364.14093017578100,1011.4326782226600,0.9764849543571470,421.4604187011720,993.4021606445310,0.9989068508148190
644,907.4136352539060,310.13433837890600,0.5101293921470640,559.8987426757810,583.996337890625,0.9752939939498900,561.5718994140630,793.5169067382810,0.9809393882751470,576.6785888671880,855.5537719726560,0.9974991679191590,472.133544921875,871.8314208984380,0.9893849492073060,457.65582275390600,965.6989135742190,0.9828113913536070,392.87176513671900,987.2241821289060,0.9723710417747500,371.255126953125,991.733154296875,0.8620839715003970,364.1706237792970,1012.4932861328100,0.9793380498886110,420.8204040527340,995.2420654296880,0.9990467429161070
645,907.4903564453130,309.9106140136720,0.5172117948532100,559.9629516601560,584.42919921875,0.9732413291931150,561.4222412109380,793.6492919921880,0.9817319512367250,576.046630859375,855.6069946289060,0.9966010451316830,471.25543212890600,873.0319213867190,0.9897159934043880,456.93914794921900,967.4118041992190,0.9514585733413700,391.41925048828100,991.8839111328130,0.9887508749961850,371.255126953125,993.0248413085940,0.8543078899383550,364.14093017578100,1013.0531616210900,0.9762267470359800,419.0599060058590,997.725341796875,0.9981411695480350
646,907.4903564453130,309.9106140136720,0.5230771899223330,560.0089721679690,584.7554321289060,0.9735710024833680,561.2243041992190,793.6854858398440,0.9813039302825930,575.4338989257810,855.7881469726560,0.9965591430664060,470.8264465332030,874.9332885742190,0.9873737692832950,456.8124084472660,967.8357543945310,0.9589090347290040,390.6600341796880,992.872314453125,0.986634373664856,372.7560729980470,998.44091796875,0.9426218867301940,364.14093017578100,1017.4891967773400,0.9772351384162900,417.665771484375,1000.4900512695300,0.9971425533294680
